iter	Logloss
0	0.5627871188
1	0.4950259422
2	0.4587471304
3	0.4316364648
4	0.4037610904
5	0.3886668024
6	0.3768831482
7	0.3646903077
8	0.3517585095
9	0.3448927628
10	0.3367538358
11	0.3324928502
12	0.3293751714
13	0.3247419911
14	0.3225609759
15	0.3183788991
16	0.3145530105
17	0.3124294249
18	0.3110325714
19	0.3087079722
20	0.3073874185
21	0.3058839111
22	0.3045745304
23	0.3023295632
24	0.3007114327
25	0.2995094065
26	0.2986787363
27	0.2975324999
28	0.2967900159
29	0.2959709063
30	0.2953257576
31	0.2946435927
32	0.2941749212
33	0.2934638684
34	0.2927788636
35	0.2924673706
36	0.291347683
37	0.2909196971
38	0.2904208124
39	0.2896052694
40	0.2891538581
41	0.2887938053
42	0.2882269887
43	0.287941902
44	0.2875162306
45	0.2870294852
46	0.2867864538
47	0.2865301033
48	0.2861892665
49	0.2858844783
50	0.2853810379
51	0.2849727633
52	0.2845536354
53	0.2843010227
54	0.2838393138
55	0.2836265692
56	0.2833227768
57	0.2831104657
58	0.2829473567
59	0.282764238
60	0.2824191521
61	0.2822743818
62	0.2821191797
63	0.2818984714
64	0.2817102984
65	0.2813016836
66	0.2808767325
67	0.2807667905
68	0.2804790049
69	0.2802229022
70	0.2797326003
71	0.2794484157
72	0.2792631738
73	0.2790463569
74	0.2788481615
75	0.2786549105
76	0.2784345047
77	0.2782489516
78	0.277994091
79	0.2778504459
80	0.2776103647
81	0.2773958081
82	0.2771075154
83	0.2769052609
84	0.2766175454
85	0.2763564698
86	0.2761496606
87	0.2759299046
88	0.2757353931
89	0.2754533472
90	0.2751876388
91	0.2749709009
92	0.274542821
93	0.2742848649
94	0.2741687098
95	0.2740024869
96	0.2737927717
97	0.273688111
98	0.2734797308
99	0.2732698126
100	0.2729921601
101	0.2727816708
102	0.2725781304
103	0.2724055068
104	0.27218736
105	0.2718713833
106	0.2717409063
107	0.2715456492
108	0.2713372043
109	0.2711283726
110	0.2709143347
111	0.2707480388
112	0.2704768046
113	0.2702535668
114	0.2700985751
115	0.2699102867
116	0.2697977001
117	0.2696278636
118	0.2694384145
119	0.2692992429
120	0.2690471114
121	0.2688956022
122	0.2687950399
123	0.2686012302
124	0.2683718264
125	0.2681634826
126	0.2679674735
127	0.2678150524
128	0.2676343391
129	0.267453796
130	0.2672534683
131	0.2671096563
132	0.266882063
133	0.2667198712
