iter	Logloss
134	0.2666236712
135	0.266481451
136	0.2663527732
137	0.2661229613
138	0.2659256778
139	0.2657373167
140	0.2654778636
141	0.2653535441
142	0.2651944892
143	0.2650047188
144	0.2648284507
145	0.2646561736
146	0.2644857068
147	0.26429906
148	0.2641879196
149	0.2640265864
150	0.2638019611
151	0.2636200461
152	0.2634636241
153	0.2632961103
154	0.2631943676
155	0.2630995722
156	0.2629316005
157	0.2627641616
158	0.2626500139
159	0.2624928851
160	0.2622900187
161	0.2621451372
162	0.2619904916
163	0.2617920335
164	0.2616973845
165	0.261555242
166	0.2613934869
167	0.2612068907
168	0.2610230096
169	0.2608444188
170	0.2607307766
171	0.2605594705
172	0.2604089985
173	0.2602314107
174	0.2601076968
175	0.2599757053
176	0.2597407166
177	0.2595914143
178	0.2593915696
179	0.2592024291
180	0.2591104991
181	0.2588973026
182	0.2588034046
183	0.2586195404
184	0.2584684188
185	0.2583687077
186	0.2582156784
187	0.2580567528
188	0.257971342
189	0.2578476664
190	0.2577537693
191	0.2576781593
192	0.2575402121
193	0.2574138074
194	0.2573052661
195	0.2571721866
196	0.257117746
197	0.2569271969
198	0.2568133449
199	0.2566520334
200	0.2565152245
201	0.2564470452
202	0.2562796059
203	0.2560864368
204	0.2558839179
205	0.2557196994
206	0.255615083
207	0.2554739321
208	0.255334609
209	0.2552302403
210	0.2550356337
211	0.2548897442
212	0.2547250551
213	0.2546185601
214	0.2544799177
215	0.2543483527
216	0.2542524776
217	0.2540128324
218	0.2539082228
219	0.2537940124
220	0.2536248617
221	0.2534371459
222	0.2532580265
223	0.2531229578
224	0.2529908444
225	0.2528749825
226	0.2527549076
227	0.2525846186
228	0.2525056486
229	0.2523888306
230	0.2522105344
231	0.2521028308
232	0.2519420714
233	0.251796875
234	0.2517158045
235	0.2515587245
236	0.2513955074
237	0.2512255272
238	0.2511124196
239	0.2509953412
240	0.2508640944
241	0.2507790016
242	0.2505983632
243	0.2504732165
244	0.2503854666
245	0.2503166017
246	0.2502137093
247	0.2500595859
248	0.2499637052
249	0.2498530102
250	0.2497381559
251	0.2496138847
252	0.2495347449
253	0.2493692366
254	0.2492336322
255	0.2491319075
256	0.2489883861
257	0.2487978534
258	0.2487252338
259	0.2486150791
260	0.2484868594
261	0.2483529721
262	0.2482210999
263	0.2480881249
264	0.2479675458
265	0.2478578258
266	0.2477802629
267	0.2476265349
268	0.2475373799
269	0.2474296103
270	0.2472863755
271	0.2471217578
272	0.2470235404
273	0.2469049994
274	0.2468029039
275	0.2466649292
276	0.2465622967
277	0.2464361747
278	0.2463793987
279	0.2462946193
280	0.2461611294
281	0.2460185128
282	0.2458480727
283	0.2457049083
284	0.2456110094
285	0.2454738865
286	0.2453609299
287	0.2452703954
288	0.2451537554
289	0.2450088003
290	0.2449060849
291	0.2448064137
292	0.2446781103
293	0.2445666628
294	0.2443761343
295	0.2442781869
296	0.2441614148
297	0.2440631865
298	0.2439400079
299	0.2438098014
300	0.2437201614
301	0.2435946498
302	0.2434891415
303	0.2434214405
304	0.2433155499
305	0.243198591
306	0.2430703779
307	0.2429731671
308	0.2428718297
309	0.2427641159
310	0.2426248834
311	0.2425015675
312	0.2424459179
313	0.2423660672
314	0.2422831947
315	0.2421413499
316	0.2420311921
317	0.2419304441
318	0.2417958099
319	0.2417169313
320	0.2416279165
321	0.2415168375
322	0.2414125129
323	0.2412470035
324	0.2410601811
325	0.2409375332
326	0.2408098829
327	0.2407667796
328	0.2406554658
329	0.2405816512
330	0.240475708
331	0.2403803529
332	0.2402629318
333	0.240185867
334	0.2400564613
335	0.2399466507
336	0.2397683329
337	0.2396413682
338	0.2395154977
339	0.2393621558
340	0.2392264351
341	0.2391215056
342	0.2390181101
343	0.2388638718
344	0.2387972552
345	0.23868439
346	0.2385945961
347	0.2384954758
348	0.2383562899
349	0.2382656049
